,FileName,Country,Date,State,City,Operator,Tech,Throughput,Latency,Type
0,logs_new/Norway_Gaustadall%C3%A9en 23B_Telia N_5060255952859.txt,Norway,1662654645,0851,kommune,Telia,5G,35.7684,42.98,Walking
0,logs_new/Norway_0484 Oslo_Telia N_6152714611818.txt,Norway,1662661813,0484,kommune,Telia,5G,148.5280,44.040000000000006,Walking
0,logs_new/Norway_0372 Oslo_Telia N_8988103630319.txt,Norway,1662744620,0372,kommune,Telia,5G,146.8176,39.199999999999996,Walking
0,logs_new/Norway_0572 Oslo_Telia N_1848357577782.txt,Norway,1662583357,0572,kommune,Telia,5G,50.5787,39.63,Walking
0,logs_new/Norway_0571 Oslo_Telia N_4349303976985.txt,Norway,1662639564,0851,kommune,Telia,5G,0,49.459999999999994,Static
0,logs_new/Norway_0572 Oslo_Telia N_1394017317643.txt,Norway,1662582352,,kommune,Telia,5G,29.2090,39.129999999999995,Static
0,logs_new/Norway_Oslo_Telia N_5188365944113.txt,Norway,1662654774,"Forskningsparken,",Oslo,Telia,5G,77.0858,35.760000000000005,Static
0,logs_new/Norway_Oslo_Telia N_5165454612923.txt,Norway,1662654751,"Forskningsparken,",Oslo,Telia,5G,69.9813,48.739999999999995,Walking
0,logs_new/Norway_Gaustadall%C3%A9en 23B_Telia N_5023826552404.txt,Norway,1662654609,0373,kommune,Telia,5G,98.0564,41.60000000000001,Walking
0,logs_new/Norway_0572 Oslo_Telia N_3419772309579.txt,Norway,1662624553,0572,kommune,Telia,5G,132.2740,35.73,Walking
0,logs_new/Norway_0572 Oslo_Telia N_1465089689022.txt,Norway,1662582709,,kommune,Telia,5G,38.7442,45.529999999999994,Static
0,logs_new/USA_Albuquerque_Mint_54726001100580.txt,United States,1662580797,NM,Albuquerque,Mint,Unknown,111.2444,98.68,Static
0,logs_new/Norway_0372 Oslo_Telia N_9005111792552.txt,Norway,1662744637,0372,kommune,Telia,5G,145.3826,37.24,Walking
0,logs_new/Norway_Nydalsveien 37_Telia N_5464033686976.txt,Norway,1662655342,0484,kommune,Telia,5G,62.6545,52.69,Walking
0,logs_new/Norway_0565 Oslo_Telia N_3686616059529.txt,Norway,1662624834,0571,kommune,Telia,5G,0,40.089999999999996,Walking
0,logs_new/Norway_0571 Oslo_Telia N_4985211652107.txt,Norway,1662654570,0373,kommune,Telia,5G,18.9932,38.809999999999995,Walking
0,logs_new/USA_Boston_T-Mobile_95415103171750.txt,United States,1662158830,MA,Boston,T-Mobile,Unknown,83.7575,42.19,Walking
0,logs_new/Norway_Nydalsveien 37_Telia N_5412692745485.txt,Norway,1662655291,0484,kommune,Telia,5G,148.0102,38.199999999999996,Walking
0,logs_new/Norway_Oslo_Telia N_5235778683365.txt,Norway,1662654821,"Forskningsparken,",Oslo,Telia,5G,68.4304,38.730000000000004,Walking
